City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Gambier,-37.8333,140.7667,57.11,67,75,8.05,AU,2021-11-17 17:23:29
1,Atuona,-9.8,-139.0333,77.76,76,23,16.04,PF,2021-11-17 17:23:29
2,Ushuaia,-54.8,-68.3,42.46,65,40,23.02,AR,2021-11-17 17:23:29
3,Porto Novo,6.4965,2.6036,84.02,73,78,6.38,BJ,2021-11-17 17:23:29
4,Te Anau,-45.4167,167.7167,38.35,91,36,1.77,NZ,2021-11-17 17:23:30
5,Punta Arenas,-53.15,-70.9167,48.31,57,75,35.68,CL,2021-11-17 17:22:26
6,Chernyshevskiy,63.0128,112.4714,-9.63,100,96,2.39,RU,2021-11-17 17:23:30
7,Vaini,-21.2,-175.2,75.36,88,20,5.75,TO,2021-11-17 17:23:30
8,Kipini,-2.5257,40.5262,80.89,80,89,13.47,KE,2021-11-17 17:23:30
9,Mataura,-46.1927,168.8643,39.16,95,53,2.95,NZ,2021-11-17 17:23:31
10,Pringsewu,-5.3582,104.9744,74.79,95,62,3.15,ID,2021-11-17 17:23:31
11,Micheweni,-4.9667,39.8333,78.89,74,51,9.37,TZ,2021-11-17 17:23:31
12,Hithadhoo,-0.6,73.0833,81.82,79,73,14.65,MV,2021-11-17 17:23:32
13,Nyaunglebin,17.95,96.7333,74.53,94,21,4.94,MM,2021-11-17 17:23:32
14,Butaritari,3.0707,172.7902,81.72,76,88,12.59,KI,2021-11-17 17:23:32
15,Anadyr,64.75,177.4833,21.0,85,75,20.0,RU,2021-11-17 17:23:33
16,Mahebourg,-20.4081,57.7,77.29,73,40,13.8,MU,2021-11-17 17:23:33
17,Cape Town,-33.9258,18.4232,62.28,69,40,20.71,ZA,2021-11-17 17:23:34
18,Bluff,-46.6,168.3333,48.02,78,66,13.35,NZ,2021-11-17 17:23:34
19,Aksu,41.1231,80.2644,36.63,40,99,2.15,CN,2021-11-17 17:23:34
20,Birao,10.2849,22.7882,84.09,21,30,5.75,CF,2021-11-17 17:23:35
21,Albany,42.6001,-73.9662,48.31,66,82,4.0,US,2021-11-17 17:21:18
22,Chuy,-33.6971,-53.4616,65.52,43,3,14.29,UY,2021-11-17 17:23:35
23,Jamestown,42.097,-79.2353,59.29,87,75,10.36,US,2021-11-17 17:19:32
24,Tuatapere,-46.1333,167.6833,43.23,80,66,5.08,NZ,2021-11-17 17:23:35
25,Ati,13.2154,18.3353,92.12,15,87,5.95,TD,2021-11-17 17:23:36
26,Barrow,71.2906,-156.7887,3.22,78,90,10.36,US,2021-11-17 17:23:36
27,Busselton,-33.65,115.3333,59.04,74,87,14.76,AU,2021-11-17 17:23:36
28,Auki,-8.7676,160.7034,77.18,86,68,2.86,SB,2021-11-17 17:23:36
29,Palu,-0.8917,119.8707,76.55,92,100,2.86,ID,2021-11-17 17:23:37
30,Qandala,11.472,49.8728,78.21,61,73,5.61,SO,2021-11-17 17:23:37
31,Bara,10.3744,10.7288,85.78,24,17,2.44,NG,2021-11-17 17:23:37
32,Jacareacanga,-6.2222,-57.7528,77.31,100,90,6.91,BR,2021-11-17 17:23:38
33,Codrington,-38.2667,141.9667,56.48,47,75,9.42,AU,2021-11-17 17:23:38
34,Ilulissat,69.2167,-51.1,-15.27,81,1,5.46,GL,2021-11-17 17:23:38
35,Mwanza,-2.5167,32.9,76.24,61,77,8.28,TZ,2021-11-17 17:23:38
36,Bredasdorp,-34.5322,20.0403,57.27,78,100,12.28,ZA,2021-11-17 17:23:39
37,Ribeira Grande,38.5167,-28.7,68.4,73,40,13.8,PT,2021-11-17 17:23:39
38,Saint-Philippe,-21.3585,55.7679,76.59,74,12,11.81,RE,2021-11-17 17:23:39
39,Qaanaaq,77.484,-69.3632,-3.08,74,10,5.91,GL,2021-11-17 17:23:40
40,Upernavik,72.7868,-56.1549,-3.37,72,28,4.45,GL,2021-11-17 17:23:40
41,Okhotsk,59.3833,143.3,19.06,75,100,20.33,RU,2021-11-17 17:23:40
42,Nanortalik,60.1432,-45.2371,32.49,70,100,6.06,GL,2021-11-17 17:23:40
43,Yellowknife,62.456,-114.3525,16.41,100,90,16.11,CA,2021-11-17 17:23:41
44,Kovdor,67.5662,30.4758,31.8,99,100,4.45,RU,2021-11-17 17:23:41
45,Ixtapa,20.7,-105.2,80.22,61,40,4.61,MX,2021-11-17 17:21:33
46,Talara,-4.5772,-81.2719,77.76,57,0,16.11,PE,2021-11-17 17:24:41
47,Kinston,35.2627,-77.5816,73.99,37,1,8.05,US,2021-11-17 17:20:29
48,Camacha,33.0833,-16.3333,65.16,59,75,16.11,PT,2021-11-17 17:24:42
49,San Patricio,28.017,-97.5169,84.18,50,0,17.07,US,2021-11-17 17:24:42
50,Waipawa,-41.4122,175.5153,49.03,92,11,3.6,NZ,2021-11-17 17:24:42
51,Dalby,-27.1833,151.2667,61.99,88,56,12.5,AU,2021-11-17 17:24:43
52,Luderitz,-26.6481,15.1594,63.81,68,0,24.05,NA,2021-11-17 17:24:43
53,Khatanga,71.9667,102.5,-24.66,98,94,4.38,RU,2021-11-17 17:24:43
54,Sao Joao Da Barra,-21.6403,-41.0511,80.69,79,19,14.9,BR,2021-11-17 17:24:43
55,Qostanay,53.1667,63.5833,16.74,94,84,8.34,KZ,2021-11-17 17:24:44
56,Nikolskoye,59.7035,30.7861,39.87,93,100,7.58,RU,2021-11-17 17:24:44
57,Samarai,-10.6167,150.6667,81.1,83,80,10.09,PG,2021-11-17 17:24:44
58,Thompson,55.7435,-97.8558,21.36,86,90,20.71,CA,2021-11-17 17:24:45
59,Geraldton,-28.7667,114.6,63.01,82,40,5.75,AU,2021-11-17 17:24:45
60,Georgetown,5.4112,100.3354,77.9,94,20,2.3,MY,2021-11-17 17:24:45
61,Tasiilaq,65.6145,-37.6368,32.16,74,100,9.51,GL,2021-11-17 17:24:46
62,Dalnegorsk,44.5604,135.5701,28.08,75,94,3.02,RU,2021-11-17 17:24:46
63,Rikitea,-23.1203,-134.9692,73.29,68,43,17.47,PF,2021-11-17 17:24:46
64,Hermanus,-34.4187,19.2345,59.9,76,100,15.12,ZA,2021-11-17 17:24:46
65,Araouane,18.9048,-3.5265,83.35,12,96,7.07,ML,2021-11-17 17:24:47
66,Kolokani,13.5728,-8.0339,94.77,17,26,6.73,ML,2021-11-17 17:24:47
67,Samana,19.2056,-69.3369,84.42,74,40,4.61,DO,2021-11-17 17:24:47
68,Havoysund,70.9963,24.6622,40.08,92,100,19.37,NO,2021-11-17 17:24:47
69,Ballina,-28.8667,153.5667,66.16,73,75,6.91,AU,2021-11-17 17:24:48
70,Parvatsar,26.8833,74.7667,64.83,28,100,6.73,IN,2021-11-17 17:24:48
71,Capreol,46.706,-80.9225,34.56,96,90,4.0,CA,2021-11-17 17:24:48
72,Senekal,-28.3197,27.6208,81.37,19,76,12.44,ZA,2021-11-17 17:24:49
73,Suoyarvi,62.0833,32.35,38.05,97,100,8.05,RU,2021-11-17 17:24:49
74,Kapaa,22.0752,-159.319,70.2,94,1,6.91,US,2021-11-17 17:24:49
75,Shingu,33.7333,135.9833,53.69,74,90,4.72,JP,2021-11-17 17:24:49
76,Port Alfred,-33.5906,26.891,68.23,93,73,12.8,ZA,2021-11-17 17:24:50
77,Tutrakan,44.05,26.6167,46.15,62,96,4.23,BG,2021-11-17 17:24:50
78,Iqaluit,63.7506,-68.5145,1.13,85,75,14.97,CA,2021-11-17 17:24:50
79,Dikson,73.5069,80.5464,-4.34,90,99,5.32,RU,2021-11-17 17:24:51
80,Omboue,-1.5746,9.2618,79.0,82,80,6.06,GA,2021-11-17 17:24:51
81,East London,-33.0153,27.9116,68.94,94,40,12.66,ZA,2021-11-17 17:24:51
82,Poum,-20.2333,164.0167,77.81,78,84,13.67,NC,2021-11-17 17:24:51
83,Sambava,-14.2667,50.1667,76.93,80,34,9.51,MG,2021-11-17 17:24:52
84,Hilo,19.7297,-155.09,75.25,88,1,3.44,US,2021-11-17 17:22:08
85,Yar-Sale,66.8333,70.8333,3.04,94,100,17.31,RU,2021-11-17 17:24:52
86,Saskylakh,71.9167,114.0833,-26.46,99,94,4.63,RU,2021-11-17 17:24:52
87,Ormara,25.2088,64.6357,77.76,44,0,7.58,PK,2021-11-17 17:24:53
88,Xunchang,28.4543,104.715,50.56,84,1,0.72,CN,2021-11-17 17:24:53
89,Kamenka,51.3223,42.7678,24.75,81,47,5.57,RU,2021-11-17 17:24:53
90,Port Elizabeth,-33.918,25.5701,68.09,82,20,12.66,ZA,2021-11-17 17:24:53
91,Huarmey,-10.0681,-78.1522,68.09,75,100,8.32,PE,2021-11-17 17:25:54
92,Rudarpur,26.4394,83.6144,68.9,43,97,5.14,IN,2021-11-17 17:25:54
93,Barentu,15.1139,37.5928,82.18,32,6,9.22,ER,2021-11-17 17:25:54
94,Dingle,10.9995,122.6711,75.16,94,78,6.06,PH,2021-11-17 17:25:55
95,Wanxian,30.8039,108.3897,54.5,90,100,2.77,CN,2021-11-17 17:25:55
96,Ochamchira,42.7121,41.4721,50.11,79,2,3.18,GE,2021-11-17 17:25:55
97,Talnakh,69.4865,88.3972,-16.08,91,53,5.66,RU,2021-11-17 17:25:55
98,Ndioum,16.5129,-14.6471,102.09,15,100,4.47,SN,2021-11-17 17:25:18
99,Nizwa,22.9333,57.5333,74.41,46,3,3.09,OM,2021-11-17 17:25:56
100,Avarua,-21.2078,-159.775,77.05,94,75,11.5,CK,2021-11-17 17:25:56
101,Lazaro Cardenas,17.9583,-102.2,82.96,63,75,0.89,MX,2021-11-17 17:25:56
102,Nyurba,63.2842,118.3319,-7.37,100,87,2.37,RU,2021-11-17 17:25:57
103,Bintulu,3.1667,113.0333,75.61,100,20,3.44,MY,2021-11-17 17:25:57
104,Goderich,43.7501,-81.7165,56.91,94,100,13.8,CA,2021-11-17 17:25:57
105,Mehamn,71.0357,27.8492,39.38,87,20,13.8,NO,2021-11-17 17:25:58
106,Chuchkovo,54.2693,41.4465,24.24,95,93,5.5,RU,2021-11-17 17:25:58
107,Nome,64.5011,-165.4064,-7.53,64,1,3.44,US,2021-11-17 17:25:58
108,Macrohon,10.0797,124.9431,79.88,83,81,5.99,PH,2021-11-17 17:25:58
109,Axim,4.8699,-2.2405,82.06,76,59,8.25,GH,2021-11-17 17:25:59
110,New Norfolk,-42.7826,147.0587,49.5,97,94,3.04,AU,2021-11-17 17:25:59
111,Lorengau,-2.0226,147.2712,80.33,80,89,4.09,PG,2021-11-17 17:25:59
112,Hobart,-42.8794,147.3294,49.86,93,98,1.99,AU,2021-11-17 17:26:00
113,Puerto Parra,6.6515,-74.0573,90.09,55,90,1.86,CO,2021-11-17 17:26:00
114,Kruisfontein,-34.0033,24.7314,65.88,82,58,24.65,ZA,2021-11-17 17:26:00
115,Steinbach,50.1667,8.5667,45.61,87,90,10.36,DE,2021-11-17 17:26:00
116,Zyryanka,65.75,150.85,0.75,94,100,13.04,RU,2021-11-17 17:26:01
117,Lata,40.1629,-8.3327,60.82,51,4,7.58,PT,2021-11-17 17:26:01
118,Cabo San Lucas,22.8909,-109.9124,88.61,42,1,3.0,MX,2021-11-17 17:26:01
119,Arica,-18.475,-70.3042,76.55,56,0,12.66,CL,2021-11-17 17:26:02
120,Cockburn Town,21.4612,-71.1419,84.16,61,40,13.8,TC,2021-11-17 17:21:03
121,Fortuna,40.5982,-124.1573,49.93,70,1,3.0,US,2021-11-17 17:26:02
122,Cidreira,-30.1811,-50.2056,63.43,87,100,16.35,BR,2021-11-17 17:26:02
123,Margate,51.3813,1.3862,50.04,76,60,1.99,GB,2021-11-17 17:26:03
124,Kieta,-6.2167,155.6333,77.92,85,99,1.25,PG,2021-11-17 17:26:03
125,San Andres,12.5847,-81.7006,86.02,66,75,13.8,CO,2021-11-17 17:25:21
126,Englehart,47.8169,-79.8664,30.22,93,90,13.8,CA,2021-11-17 17:26:03
127,Saint-Augustin,51.226,-58.6502,34.38,63,100,19.17,CA,2021-11-17 17:26:04
128,Armidale,-30.5167,151.65,50.81,96,64,5.19,AU,2021-11-17 17:26:04
129,Resplendor,-19.3256,-41.2553,82.98,64,71,3.74,BR,2021-11-17 17:26:04
130,Nioro,13.35,-15.75,94.86,29,56,5.97,GM,2021-11-17 17:26:04
131,Moyale,3.5167,39.0584,70.48,71,82,4.0,KE,2021-11-17 17:26:05
132,Castro,-24.7911,-50.0119,73.09,67,64,6.91,BR,2021-11-17 17:26:05
133,Japura,-0.3167,102.35,74.7,97,71,1.45,ID,2021-11-17 17:26:05
134,Guerrero Negro,27.9769,-114.0611,67.53,68,49,12.64,MX,2021-11-17 17:26:06
135,Arraial Do Cabo,-22.9661,-42.0278,82.36,69,0,24.16,BR,2021-11-17 17:26:06
136,Flinders,-34.5833,150.8552,61.38,79,84,1.01,AU,2021-11-17 17:26:06
137,Hobyo,5.3505,48.5268,80.19,68,20,12.41,SO,2021-11-17 17:26:06
138,Meulaboh,4.1363,96.1285,74.91,82,100,6.49,ID,2021-11-17 17:27:07
139,Staryy Nadym,65.6118,72.6842,3.61,95,100,16.67,RU,2021-11-17 17:27:07
140,Tiksi,71.6872,128.8694,-6.56,98,100,4.05,RU,2021-11-17 17:27:07
141,Sola,-13.8833,167.55,81.21,76,24,10.89,VU,2021-11-17 17:27:07
142,Kodiak,57.79,-152.4072,18.91,49,75,17.27,US,2021-11-17 17:27:08
143,Pevek,69.7008,170.3133,13.06,76,97,13.18,RU,2021-11-17 17:27:08
144,Saint-Francois,46.4154,3.9054,45.84,87,90,3.44,FR,2021-11-17 17:27:08
145,Avallon,47.4833,3.9,45.34,89,100,4.21,FR,2021-11-17 17:27:09
146,Atambua,-9.1061,124.8925,74.91,80,92,2.86,ID,2021-11-17 17:27:09
147,Bathsheba,13.2167,-59.5167,88.41,58,40,21.85,BB,2021-11-17 17:27:09
148,Progreso,21.2833,-89.6667,87.12,65,13,10.76,MX,2021-11-17 17:27:10
149,Ponta Do Sol,32.6667,-17.1,70.72,56,55,5.03,PT,2021-11-17 17:27:10
150,Annapolis,38.9785,-76.4922,63.19,68,75,10.36,US,2021-11-17 17:22:43
151,Nantucket,41.2835,-70.0995,51.26,50,1,5.75,US,2021-11-17 17:27:10
152,Klaksvik,62.2266,-6.589,41.92,63,51,23.73,FO,2021-11-17 17:27:10
153,Tuktoyaktuk,69.4541,-133.0374,6.8,92,90,20.71,CA,2021-11-17 17:27:11
154,Faanui,-16.4833,-151.75,80.53,76,99,18.54,PF,2021-11-17 17:27:11
155,Vila Franca Do Campo,37.7167,-25.4333,72.19,72,62,11.83,PT,2021-11-17 17:27:11
156,Maningrida,-12.0667,134.2667,80.24,48,99,6.2,AU,2021-11-17 17:27:11
157,Mandali,33.7499,45.5541,67.91,28,0,8.03,IQ,2021-11-17 17:27:12
158,Mar Del Plata,-38.0023,-57.5575,68.02,70,0,11.99,AR,2021-11-17 17:27:12
159,Severo-Kurilsk,50.6789,156.125,32.56,75,81,10.42,RU,2021-11-17 17:27:12
160,Hasaki,35.7333,140.8333,46.8,56,74,9.13,JP,2021-11-17 17:27:12
161,Srednekolymsk,67.45,153.6833,-12.91,100,95,2.3,RU,2021-11-17 17:27:13
162,Victoria,22.2855,114.1577,72.32,77,5,7.0,HK,2021-11-17 17:23:06
163,Korla,41.7597,86.1469,34.88,40,25,2.57,CN,2021-11-17 17:27:13
164,Rehoboth,-23.3167,17.0833,84.7,14,20,21.36,NA,2021-11-17 17:27:13
165,Port-Gentil,-0.7193,8.7815,80.56,83,40,11.5,GA,2021-11-17 17:27:14
166,Jalu,29.0331,21.5482,71.62,34,19,7.92,LY,2021-11-17 17:27:14
167,Faya,18.3851,42.4509,62.71,53,7,2.21,SA,2021-11-17 17:27:14
168,Coquimbo,-29.9533,-71.3436,62.33,67,75,12.66,CL,2021-11-17 17:23:38
169,Pacific Grove,36.6177,-121.9166,63.39,88,1,1.99,US,2021-11-17 17:27:15
170,Tigre,-34.426,-58.5796,71.06,30,0,5.75,AR,2021-11-17 17:27:15
171,Aswan,24.0934,32.907,82.26,26,27,9.28,EG,2021-11-17 17:27:15
172,Atig,56.6931,59.4227,4.55,95,20,5.82,RU,2021-11-17 17:27:15
173,Westport,41.1415,-73.3579,55.27,54,75,1.01,US,2021-11-17 17:27:16
174,Wajir,1.7471,40.0573,87.76,51,20,0.0,KE,2021-11-17 17:27:16
175,Bonthe,7.5264,-12.505,83.71,70,74,9.51,SL,2021-11-17 17:27:16
176,Kaeo,-35.1,173.7833,53.33,90,80,4.68,NZ,2021-11-17 17:27:17
177,Norman Wells,65.282,-126.8329,-0.36,85,90,5.75,CA,2021-11-17 17:27:17
178,Gimli,50.6336,-96.9907,30.22,86,100,13.8,CA,2021-11-17 17:27:17
179,Moroni,-11.7022,43.2551,80.6,69,20,4.61,KM,2021-11-17 17:27:17
180,Severinia,-20.8094,-48.8028,89.06,53,84,10.0,BR,2021-11-17 17:27:18
181,Hofn,64.2539,-15.2082,30.22,55,0,3.44,IS,2021-11-17 17:27:18
182,Cerrik,41.0317,19.9758,56.75,64,100,1.41,AL,2021-11-17 17:27:18
183,Cherskiy,68.75,161.3,4.71,85,11,6.29,RU,2021-11-17 17:28:18
184,Nhulunbuy,-12.2333,136.7667,77.61,83,87,3.44,AU,2021-11-17 17:28:19
185,Raudeberg,61.9875,5.1352,41.67,66,100,25.57,NO,2021-11-17 17:28:19
186,Olinda,-8.0089,-34.8553,83.61,61,93,14.41,BR,2021-11-17 17:28:19
187,Abonnema,4.7084,6.7931,82.53,76,85,6.98,NG,2021-11-17 17:28:19
188,Puerto Ayora,-0.7393,-90.3518,73.36,72,62,10.51,EC,2021-11-17 17:28:20
189,Suleja,9.1758,7.1808,86.99,48,70,3.74,NG,2021-11-17 17:28:20
190,Lahan,26.7296,86.4951,67.19,65,89,4.18,NP,2021-11-17 17:28:20
191,Chabahar,25.2919,60.643,76.46,50,0,5.7,IR,2021-11-17 17:28:21
192,Puerto Del Rosario,28.5004,-13.8627,71.28,64,75,11.5,ES,2021-11-17 17:28:21
193,Dunedin,-45.8742,170.5036,47.55,77,96,6.11,NZ,2021-11-17 17:27:18
194,Pak Phanang,8.3511,100.202,83.07,86,100,6.38,TH,2021-11-17 17:28:21
195,Pangkalanbuun,-2.6833,111.6167,75.13,94,95,0.76,ID,2021-11-17 17:28:22
196,Sapernoye,60.7167,29.9505,37.65,92,100,7.25,RU,2021-11-17 17:28:22
197,Fairbanks,64.8378,-147.7164,6.22,77,90,1.01,US,2021-11-17 17:28:22
198,Jiexiu,37.0244,111.9125,45.66,40,0,5.41,CN,2021-11-17 17:28:22
199,Nizhneangarsk,55.7833,109.55,10.76,73,68,8.32,RU,2021-11-17 17:28:23
200,Esperance,-33.8667,121.9,57.04,74,52,15.86,AU,2021-11-17 17:28:23
201,Vao,-22.6667,167.4833,75.06,81,33,19.06,NC,2021-11-17 17:28:23
202,Bandarbeyla,9.4942,50.8122,77.88,67,92,12.66,SO,2021-11-17 17:28:24
203,Praia Da Vitoria,38.7333,-27.0667,69.76,83,40,14.0,PT,2021-11-17 17:28:24
204,Nata,8.3333,-80.5167,85.87,65,25,1.48,PA,2021-11-17 17:28:24
205,Mopipi,-21.1833,24.8833,88.23,26,67,3.62,BW,2021-11-17 17:28:24
206,Lumberton,34.6182,-79.0086,75.9,32,0,9.44,US,2021-11-17 17:28:25
207,Kayerkan,69.3497,87.7602,-14.71,91,64,6.24,RU,2021-11-17 17:28:25
208,Bubaque,11.2833,-15.8333,82.65,70,66,10.11,GW,2021-11-17 17:28:25
209,Kirkwood,38.5834,-90.4068,71.31,71,75,3.0,US,2021-11-17 17:28:25
210,Hanmer Springs,-42.5167,172.8167,39.29,94,3,4.47,NZ,2021-11-17 17:28:26
211,Darnah,32.767,22.6367,67.35,67,0,4.68,LY,2021-11-17 17:28:26
212,Inuvik,68.3499,-133.7218,6.84,82,75,4.61,CA,2021-11-17 17:28:26
213,Saldanha,-33.0117,17.9442,64.45,75,6,26.13,ZA,2021-11-17 17:28:27
214,Portland,45.5234,-122.6762,48.22,73,40,1.01,US,2021-11-17 17:23:36
215,Surt,31.2089,16.5887,72.54,63,44,15.73,LY,2021-11-17 17:28:27
216,San Policarpo,12.1791,125.5072,80.78,73,99,5.19,PH,2021-11-17 17:28:27
217,Mporokoso,-9.3727,30.125,63.59,84,77,4.79,ZM,2021-11-17 17:28:27
218,Mimoso Do Sul,-21.0642,-41.3664,79.0,76,85,6.71,BR,2021-11-17 17:28:28
219,Carnarvon,-24.8667,113.6333,69.87,64,90,18.41,AU,2021-11-17 17:28:28
220,Martinho Campos,-19.3317,-45.2369,85.06,44,78,4.9,BR,2021-11-17 17:28:28
221,Port Hueneme,34.1478,-119.1951,65.48,84,90,5.75,US,2021-11-17 17:26:16
222,Egvekinot,66.3167,-179.1667,-2.31,86,21,7.05,RU,2021-11-17 17:28:29
223,Buala,-8.145,159.5921,79.92,80,42,4.12,SB,2021-11-17 17:28:29
224,Strezhevoy,60.7333,77.5889,10.38,94,100,10.22,RU,2021-11-17 17:28:29
225,Nova Olimpia,-14.7972,-57.2881,77.74,90,100,3.02,BR,2021-11-17 17:28:29
226,Roros,62.5747,11.3842,26.44,86,99,5.75,NO,2021-11-17 17:28:30
227,Longyearbyen,78.2186,15.6401,24.64,74,75,33.38,SJ,2021-11-17 17:28:30
228,Viana,-20.3903,-40.4961,78.57,89,80,5.12,BR,2021-11-17 17:28:30
229,Bambous Virieux,-20.3428,57.7575,77.25,73,40,13.8,MU,2021-11-17 17:28:31
230,Daru,-9.0763,143.2092,79.72,85,96,5.5,PG,2021-11-17 17:29:31
231,Broken Hill,-31.95,141.4333,65.91,22,21,12.66,AU,2021-11-17 17:29:31
232,Narsaq,60.9167,-46.05,39.42,81,100,5.66,GL,2021-11-17 17:29:31
233,Sonkovo,57.7782,37.1571,31.95,91,100,5.55,RU,2021-11-17 17:29:32
234,Agde,43.3108,3.4758,51.94,65,0,9.22,FR,2021-11-17 17:29:32
235,Bilma,18.6853,12.9164,83.73,15,5,6.71,NE,2021-11-17 17:29:32
236,Teeli,51.0333,90.2333,17.35,80,96,1.34,RU,2021-11-17 17:29:33
237,Provideniya,64.3833,-173.3,9.39,88,40,11.52,RU,2021-11-17 17:29:33
238,Torbay,47.6666,-52.7314,41.29,79,40,21.85,CA,2021-11-17 17:29:33
239,Warrnambool,-38.3833,142.4833,55.18,52,94,9.75,AU,2021-11-17 17:29:33
240,Ahipara,-35.1667,173.1667,55.18,78,33,6.69,NZ,2021-11-17 17:29:34
241,Chumikan,54.7183,135.315,8.71,90,6,12.41,RU,2021-11-17 17:29:34
242,Mount Isa,-20.7333,139.5,73.17,21,3,11.5,AU,2021-11-17 17:29:34
243,Salym,60.0625,71.4789,2.01,94,95,7.25,RU,2021-11-17 17:29:35
244,Belaya Gora,68.5333,146.4167,-2.81,99,100,4.23,RU,2021-11-17 17:29:35
245,Pisco,-13.7,-76.2167,69.03,73,0,10.36,PE,2021-11-17 17:29:35
246,Aklavik,68.2191,-135.0107,6.8,78,90,10.36,CA,2021-11-17 17:29:35
247,Misratah,32.3754,15.0925,69.44,61,1,10.49,LY,2021-11-17 17:29:36
248,Merrill,45.1805,-89.6835,44.37,61,72,5.99,US,2021-11-17 17:25:37
249,Aginskoye,51.1,114.53,19.09,65,38,21.92,RU,2021-11-17 17:29:36
250,Lavrentiya,65.5833,-171.0,5.22,91,36,10.33,RU,2021-11-17 17:29:36
251,Saint George,37.1041,-113.5841,58.42,35,1,5.01,US,2021-11-17 17:29:37
252,Rimini,44.0241,12.5186,53.44,92,75,1.99,IT,2021-11-17 17:29:37
253,Ust-Ishim,57.6935,71.1665,8.85,88,98,9.66,RU,2021-11-17 17:29:37
254,Bria,6.5423,21.9863,79.07,52,56,1.81,CF,2021-11-17 17:29:37
255,Sur,22.5667,59.5289,75.67,52,0,3.89,OM,2021-11-17 17:29:38
256,Berlevag,70.8578,29.0864,35.6,86,40,11.5,NO,2021-11-17 17:29:38
257,Maridi,4.9158,29.4742,73.2,68,95,2.68,SS,2021-11-17 17:29:38
258,Bone,51.9669,12.1396,46.29,88,100,8.97,DE,2021-11-17 17:29:39
259,Catemaco,18.4167,-95.1167,74.95,75,10,1.48,MX,2021-11-17 17:29:39
260,Qena,26.1615,32.7183,80.49,27,78,6.87,EG,2021-11-17 17:29:39
261,Oksfjord,70.2396,22.3479,41.18,98,100,6.35,NO,2021-11-17 17:29:40
262,Quatre Cocos,-20.2078,57.7625,77.11,71,4,12.86,MU,2021-11-17 17:29:40
263,Vostok,46.4856,135.8833,19.54,87,82,4.9,RU,2021-11-17 17:29:41
264,Avera,33.194,-82.5271,73.27,35,0,6.91,US,2021-11-17 17:29:41
265,Lompoc,34.6391,-120.4579,62.13,78,90,6.91,US,2021-11-17 17:29:41
266,Fukue,32.6881,128.8419,60.62,52,100,9.82,JP,2021-11-17 17:29:41
267,Leningradskiy,69.3833,178.4167,-3.32,90,8,9.46,RU,2021-11-17 17:29:42
268,Jumla,29.2747,82.1838,46.99,30,84,5.08,NP,2021-11-17 17:29:42
269,Makakilo City,21.3469,-158.0858,73.62,86,1,3.44,US,2021-11-17 17:29:43
270,Kloulklubed,7.0419,134.2556,79.3,79,89,4.85,PW,2021-11-17 17:29:43
271,Kaitangata,-46.2817,169.8464,49.93,80,64,5.99,NZ,2021-11-17 17:29:43
272,Airai,-8.9266,125.4092,61.27,80,100,1.99,TL,2021-11-17 17:29:43
273,Prince Rupert,54.3161,-130.3201,47.89,88,90,17.27,CA,2021-11-17 17:29:44
274,Port Lincoln,-34.7333,135.8667,71.98,43,60,17.34,AU,2021-11-17 17:29:44
275,Sorland,67.667,12.6934,44.67,76,88,31.88,NO,2021-11-17 17:30:45
276,Vokhtoga,58.8147,41.0461,32.59,98,100,4.99,RU,2021-11-17 17:30:45
277,Ancud,-41.8697,-73.8203,60.33,81,100,5.93,CL,2021-11-17 17:30:45
